replicate,dataset,model,utility
7,finqa,Intern-S1-mini,0.7136627906976745
7,finqa,Qwen2.5-Coder-7B-Instruct,0.6729651162790697
7,finqa,Qwen3-8B,0.748546511627907
7,finqa,gemma-2-9b-it,0.6497093023255814
7,finqa,glm-4-9b-chat,0.5828488372093024
7,humaneval,DeepSeek-R1-0528-Qwen3-8B,0.17346938775510204
7,humaneval,Fin-R1,0.7755102040816326
7,humaneval,GLM-Z1-9B-0414,0.7244897959183674
7,humaneval,Intern-S1-mini,0.3979591836734694
7,humaneval,Qwen2.5-Coder-7B-Instruct,0.7755102040816326
7,humaneval,Qwen3-8B,0.6836734693877551
7,humaneval,gemma-2-9b-it,0.6632653061224489
7,humaneval,glm-4-9b-chat,0.7346938775510204
7,korbench,DeepSeek-R1-0528-Qwen3-8B,0.568
7,korbench,Fin-R1,0.336
7,korbench,GLM-Z1-9B-0414,0.556
7,korbench,Intern-S1-mini,0.6133333333333333
7,korbench,Qwen2.5-Coder-7B-Instruct,0.32133333333333336
7,korbench,Qwen3-8B,0.524
7,korbench,gemma-2-9b-it,0.3253333333333333
7,korbench,glm-4-9b-chat,0.36
7,math500,DeepSeek-R1-0528-Qwen3-8B,0.96
7,math500,Fin-R1,0.7766666666666666
7,math500,GLM-Z1-9B-0414,0.96
7,math500,Intern-S1-mini,0.9033333333333333
7,math500,Qwen2.5-Coder-7B-Instruct,0.6766666666666666
7,math500,Qwen3-8B,0.9433333333333334
7,math500,gemma-2-9b-it,0.48
7,math500,glm-4-9b-chat,0.5633333333333334
7,mbpp,DeepSeek-R1-0528-Qwen3-8B,0.3544520547945205
7,mbpp,Fin-R1,0.684931506849315
7,mbpp,GLM-Z1-9B-0414,0.6181506849315068
7,mbpp,Intern-S1-mini,0.4383561643835616
7,mbpp,Qwen2.5-Coder-7B-Instruct,0.7534246575342466
7,mbpp,Qwen3-8B,0.5291095890410958
7,mbpp,gemma-2-9b-it,0.5907534246575342
7,mbpp,glm-4-9b-chat,0.6352739726027398
7,medqa,DeepSeek-R1-0528-Qwen3-8B,0.8272251308900523
7,medqa,Fin-R1,0.6164921465968587
7,medqa,GLM-Z1-9B-0414,0.6924083769633508
7,medqa,Intern-S1-mini,0.6858638743455497
7,medqa,Qwen2.5-Coder-7B-Instruct,0.46596858638743455
7,medqa,Qwen3-8B,0.7840314136125655
